,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
146708,18-Apr-2015,04:12:08,1,-361.000000,,,0,8,-16.6478,146.0712,04:06:08.42 18-Apr-2015,FastGPS,-16.6478,146.0712,,1,24.9,1.4,,,,15,14,3275,,,,16,5653,,,,22,22861,,,,27,6720,,,,26,31500,,,,29,23824,,,,15,26596,,,,25,2468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,24-Apr-2015,19:59:27,1,-385.000000,,,0,4,-16.5549,146.1615,06:42:57 25-Apr-2015,NN,-16.4923,145.9210,,,0.5,1.7,,,,15,17,12330,,,,6,7211,,,,2,27141,,,,30,20843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,26-Apr-2015,10:47:55,1,-391.000000,,,0,8,-16.7096,146.0363,10:41:24.13 26-Apr-2015,FastGPS,-16.7096,146.0363,,,16.6,0.1,,,,15,9,8885,,,,31,24868,,,,1,31427,,,,4,31297,,,,26,7252,,,,32,24510,,,,7,28480,,,,11,13212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,28-Apr-2015,08:34:36,1,-398.000000,,,0,4,-16.5549,146.1615,06:42:57 25-Apr-2015,NN,-16.5952,146.0614,,,12.2,33.9,,,,15,22,17012,,,,23,6318,,,,32,30582,,,,4,10086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,05-May-2015,03:16:59,1,-423.000000,,,0,7,-16.7039,146.0765,03:09:57.72 05-May-2015,FastGPS,-16.7039,146.0765,,1,12.9,1.7,,,,15,15,27981,,,42,22,14709,,,,27,5339,,,,16,5249,,,,8,13818,,,,26,32416,,,,14,7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,06-May-2015,21:44:24,2,-429.000000,,,0,6,-16.6903,146.1977,21:37:15.36 06-May-2015,FastGPS,-16.6903,146.1977,,,5.1,0.4,,,,15,5,18115,,,40,20,10636,,,,24,29824,,,,10,27267,,,,15,32312,,,,6,13416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,07-May-2015,04:15:59,1,-430.000000,,,0,4,-16.4761,146.0612,20:19:48 07-May-2015,SR,,,,,,,,,,15,29,31008,,,44,8,12688,,,,21,5725,,,,31,28341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,07-May-2015,12:52:39,1,-432.000000,,,0,6,-16.4633,146.3074,12:45:28.82 07-May-2015,FastGPS,-16.4633,146.3074,,,2.0,1.8,,,,15,10,16418,,,40,30,24372,,,,7,9732,,,,23,27289,,,,9,5430,,,,11,29308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,19-May-2015,16:15:47,1,-476.000000,,,0,5,-16.3322,146.0331,16:07:52.7 19-May-2015,FastGPS,-16.3322,146.0331,,,2.2,1.7,,,,15,30,22330,,,41,6,12320,,,,7,5975,,,,17,9820,,,,13,32388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,20-May-2015,03:05:14,2,-478.000000,,,0,5,-16.4161,145.9833,02:57:17.45 20-May-2015,FastGPS,-16.4161,145.9833,,,10.6,1.5,,,,15,18,2364,,,39,21,25027,,,,29,24856,,,,15,17239,,,,22,6766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,21-May-2015,03:56:48,1,-481.000000,,,0,6,-16.7083,146.0432,03:48:48.87 21-May-2015,FastGPS,-16.7083,146.0432,,1,6.7,1.9,,,,15,18,16529,,,38,21,9719,,,,19,24840,,,,22,18896,,,,31,30526,,,,8,3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,22-May-2015,13:02:38,1,-486.000000,,,0,5,-16.5760,145.9474,12:54:33.44 22-May-2015,FastGPS,-16.5760,145.9474,,,18.6,1.4,,,,15,9,27384,,,41,23,14949,,,,17,6460,,,,7,26684,,,,28,28496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,28-May-2015,02:21:36,1,-507.000000,,,0,7,-16.4673,146.0144,02:13:11.33 28-May-2015,FastGPS,-16.4673,146.0144,,,12.0,2.3,,,,15,15,704,,,44,21,6830,,,,29,15338,,,,24,11269,,,,27,32516,,,,18,30338,,,,14,10654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,31-May-2015,11:02:59,1,-519.000000,,,0,5,-16.5357,146.0250,10:54:21.09 31-May-2015,FastGPS,-16.5357,146.0250,,,12.2,1.1,,,,15,28,32459,,,42,30,30708,,,,7,4637,,,,6,194,,,,10,30708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,02-Jun-2015,07:07:07,1,-526.000000,,,0,4,-16.5435,146.2213,07:58:17 18-Jun-2015,NN,,,,,,,,,,15,16,25361,,,,8,25108,,,,19,29360,,,,22,17662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,12-Jun-2015,08:22:31,1,-562.000000,,,0,5,-16.5435,146.2213,07:58:17 18-Jun-2015,NN,-14.8312,145.7324,,1,0.8,0.3,,,,15,26,31270,,,42,16,86,,,,8,27675,,,,4,5202,,,,32,28052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,20-Jun-2015,20:08:12,1,-594.000000,,,0,7,-16.5560,146.2057,19:58:19.14 20-Jun-2015,FastGPS,-16.5560,146.2057,,,26.5,1.1,,,,15,15,1875,,,42,24,14910,,,,21,14937,,,,29,25738,,,,2,25914,,,,12,13180,,,,20,28228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,29-Jun-2015,12:52:41,1,-625.000000,,,0,5,-15.7750,145.8106,12:42:16.38 29-Jun-2015,FastGPS,-15.7750,145.8106,,,17.3,0.4,,,,15,30,7486,,,41,7,26185,,,,5,15486,,,,17,13138,,,,28,20636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,01-Jul-2015,20:43:30,1,-634.000000,,,0,4,-15.5937,145.9194,11:55:09 02-Jul-2015,MA,-15.6823,145.8394,,,1.3,0.5,,,,15,15,22966,,,,13,31330,,,,5,21062,,,,29,27364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,02-Jul-2015,04:39:32,2,-635.000000,,,0,4,-15.5426,145.8115,23:57:00 02-Jul-2015,MB,-15.6511,145.9771,,,0.7,-0.8,,,,15,31,31135,,,,4,16466,,,,22,14013,,,,26,29985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,07-Jul-2015,01:54:27,1,-653.000000,,,0,4,-15.5426,145.8115,23:57:00 02-Jul-2015,MB,-16.4260,146.2337,,,0.2,-1.3,,,,15,22,31397,,,,27,8126,,,,4,12712,,,,18,26427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,13-Jul-2015,20:24:53,1,-678.000000,,,0,4,-15.5426,145.8115,23:57:00 02-Jul-2015,MB,-16.5107,146.1248,,,0.4,-2.2,,,,15,12,17012,,,,18,339,,,,15,30906,,,,25,27005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,20-Jul-2015,00:41:28,1,-702.000000,,,0,4,-16.6725,146.0448,07:14:05 30-Jul-2015,SR,-16.4419,146.0377,,,0.5,-0.2,,,,15,31,6836,,,,22,23042,,,,26,31083,,,,21,13578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,23-Jul-2015,09:22:43,1,-714.000000,,,0,6,-16.2059,145.8081,09:10:48.09 23-Jul-2015,FastGPS,-16.2059,145.8081,,,10.5,-0.9,,,,15,7,21234,,,45,30,17478,,,,23,20698,,,,19,4008,,,,5,21058,,,,17,16498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,26-Jul-2015,22:43:56,1,-727.000000,,,0,5,-16.6886,146.0848,22:31:46.36 26-Jul-2015,FastGPS,-16.6886,146.0848,,,16.0,-2.6,,,,15,18,5638,,,43,29,31634,,,,21,29661,,,,22,11095,,,,26,3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,29-Jul-2015,11:40:58,1,-737.000000,,,0,4,-16.6725,146.0448,07:14:05 30-Jul-2015,SR,-16.7544,145.9927,,,0.5,-1.3,,,,15,6,13345,,,,7,13072,,,,15,23805,,,,13,7986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,30-Jul-2015,05:48:55,1,-740.000000,,,0,8,-16.6645,146.3026,05:36:34.58 30-Jul-2015,FastGPS,-16.6645,146.3026,,1,23.6,-0.4,,,,15,3,27094,,,,11,8832,,,,32,20876,,,,1,21179,,,,19,24746,,,,4,10070,,,,23,7618,,,,8,9182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,04-Aug-2015,18:53:57,1,-760.000000,,,0,6,-16.9791,146.2027,18:41:15.05 04-Aug-2015,FastGPS,-16.9791,146.2027,,,12.6,-1.9,,,,15,25,20684,,,43,18,19548,,,,12,12445,,,,29,537,,,,15,18338,,,,20,3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
